"SITE","NOME","X","Y","ILLUMINATION","VINES","DM97","DM98","DM99","DM00","DM01","DM02","DM03","DM04","DM05","DM06","DM07","DM08","DM09","INC9597","INC9798","INC9899","INC9900","INC0001","INC0102","INC0203","INC0304","INC0405","INC0506","INC0607","INC0708","INC0809","FRT97","FRT98","FRT99","FRT00","FRT01","FRT02","FRT03","FRT04","FRT05","FRT06","FRT07","FRT08","FRT09"
"MR",11101,2729,557,NA,NA,NA,12.7,13.6,15,16.2,17.6,18.9,20.4,21.8,21.9,21.7,22,22.3,NA,NA,0.9,1.4,1.2,1.35,1.3,1.55,1.35,0.1,-0.2,0.3,0.3,NA,0,0,0,0,0,0,0,0,0,0,0,0
"MR",14,2270,798,3,3,34.7,35.2,35.7,35.8,35.8,35.8,35.8,35.8,35.8,35.6,35.6,NA,NA,0.59,0.55,0.45,0.15,0,-0.05,0,0,0,-0.15,0,NA,NA,0,0,1,0,0,0,0,0,0,0,0,NA,NA
"MR",15,2306,785,4,0,102.2,103.2,103.3,104.4,105.7,106.5,107.7,108.8,109.6,110.8,111.7,112.7,113.7,1,1.05,0.1,1.1,1.25,0.85,1.15,1.1,0.8,1.2,0.91,1,1.05,70,0,0,161,0,5,0,2,0,3,130,1,50
"MR",11202,2278,688,3,1,25.3,26.1,27,28.1,29.7,30.7,31.6,32.4,32.9,33.4,34,34.6,35.1,NA,0.8,0.9,1.05,1.6,1.05,0.9,0.75,0.5,0.55,0.55,0.6,0.55,NA,0,0,0,0,0,0,0,0,0,0,0,0
"MR",11203,2278,724,2,3,59.8,60.1,60.3,60.8,61.4,62,62.4,62.7,62.8,63.1,63.3,63.6,64.6,NA,0.25,0.25,0.5,0.6,0.55,0.45,0.25,0.1,0.3,0.2,0.35,1,NA,0,0,4,0,0,0,0,1,0,12,1,2
"MR",16,2354,807,3,2,52.1,52.1,52.1,52.3,52.3,52.4,52.4,52.4,52.5,52.5,52.5,52.6,52.6,0.14,0.05,-0.05,0.2,0.05,0.05,0.05,0,0.05,0,0.05,0.05,0.05,0,0,0,0,0,2,0,0,0,0,1,0,0
"MR",17,2385,824,4,1,46.1,47.2,47.6,48.9,50,50.8,51.9,53,53.8,54.8,55.5,56.2,57.1,0.77,1.1,0.4,1.35,1.1,0.8,1.05,1.15,0.75,1.05,0.7,0.7,0.85,4,0,10,7,5,4,8,2,1,13,6,2,2
"MR",11201,2489,741,0,3,37.2,37.3,37.8,38.1,38.4,39,39.3,40,40.5,40.9,41.4,41.9,42.4,0.05,0.15,0.45,0.3,0.35,0.55,0.35,0.65,0.5,0.45,0.5,0.45,0.55,2,0,1,5,1,1,3,8,6,1,6,2,1
"MR",18,2639,707,4,3,55.6,55.8,56,56.6,57.2,57.9,58.2,58.7,58.9,58.9,59.1,59.2,59.5,0.27,0.15,0.2,0.65,0.6,0.65,0.3,0.5,0.2,0,0.2,0.1,0.35,0,2,1,1,2,4,1,2,1,0,0,1,0
"MR",19,2759,831,4,1,58,58.7,59,59.4,60.3,60.7,61.4,62.3,62.9,63.4,63.7,64.2,64.6,0.59,0.7,0.3,0.45,0.85,0.45,0.7,0.85,0.6,0.55,0.3,0.45,0.4,2,1,4,10,0,2,1,0,6,1,0,0,1
"MR",20,2804,783,4,0,91.3,91.6,91.8,92.1,92.4,92.7,93,93.3,93.5,93.8,94.1,94.2,94.2,NA,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.1,0,0,0,0,0,0,1,2,1,3,0,0,0,0
